model_family,quant_type,n_gpu_layers,n_runs,decode_tps,decode_tps_std,prefill_tps,prefill_tps_std,ttft_ms,ttft_ms_std,vram_delta_mb,vram_total_mb,vram_residency,offload_state,pstate,mem_clock_mhz,throttle_reasons,load_time_s,timing_source
llama2,Q4_K_M,0,3,11.93,0.06,358.46,25.88,721.59,56.02,412.0,412.0,0.0,cpu_only,cpu_only,9188.0,none,0.35,perf_counters
llama2,Q4_K_M,8,3,14.18,0.25,527.7,42.96,490.67,45.09,1172.0,1332.0,0.235,partial,P4,9001.0,0x4,0.8,perf_counters
llama2,Q4_K_M,16,3,19.12,0.16,669.32,36.88,387.0,19.93,2172.0,2332.0,0.396,partial,P4,9001.0,0x4,0.9,perf_counters
llama2,Q4_K_M,24,3,27.17,0.19,1034.26,30.16,251.14,6.95,3150.0,3310.0,0.504,partial,P4,9001.0,0x4,1.19,perf_counters
llama2,Q4_K_M,32,3,47.5,4.73,1365.48,39.26,190.71,5.42,4122.0,4282.0,0.95,partial,P4,9386.0,none,1.57,unstable_clocks
llama2,Q4_K_M,99,3,74.29,0.13,2788.44,12.87,93.94,0.48,4254.0,4414.0,0.982,resident,P0,12101.0,0x4,1.49,perf_counters
mistral,Q4_K_M,0,3,11.83,0.05,416.72,23.63,620.84,36.63,432.0,432.0,0.0,cpu_only,cpu_only,9101.0,0x4,0.35,perf_counters
mistral,Q4_K_M,8,3,14.35,0.06,645.23,31.66,401.59,20.72,1222.0,1382.0,0.24,partial,P4,9028.0,0x4,0.78,perf_counters
mistral,Q4_K_M,16,3,18.51,0.03,828.92,8.7,313.2,3.17,2220.0,2380.0,0.476,partial,P4,9001.0,0x4,0.95,perf_counters
mistral,Q4_K_M,24,3,26.57,0.21,1248.86,38.44,208.33,6.77,3220.0,3380.0,0.712,partial,P4,9045.0,0x4,1.28,perf_counters
mistral,Q4_K_M,32,3,61.05,0.16,2400.51,412.45,109.39,25.8,4234.0,4394.0,0.951,partial,P0,11638.0,none,1.62,perf_counters
mistral,Q4_K_M,99,3,70.91,0.44,2679.49,9.94,97.79,0.53,4352.0,4512.0,0.983,resident,P0,12101.0,0x4,1.61,perf_counters
qwen2.5,Q4_K_M,0,3,11.69,0.02,470.01,39.66,546.94,52.65,968.0,968.0,0.0,cpu_only,cpu_only,9295.0,none,0.47,perf_counters
qwen2.5,Q4_K_M,8,3,15.54,0.24,811.93,11.95,317.58,5.08,1774.0,1936.0,0.311,partial,P4,9029.0,0x4,1.05,perf_counters
qwen2.5,Q4_K_M,16,3,20.78,0.12,942.67,80.97,274.14,20.56,2834.0,2996.0,0.526,partial,P4,9001.0,0x4,1.23,perf_counters
qwen2.5,Q4_K_M,24,3,35.55,0.31,1942.04,15.02,134.52,0.85,3894.0,4056.0,0.783,partial,P2,10693.0,0x4,1.56,perf_counters
qwen2.5,Q4_K_M,32,3,71.06,0.33,3376.15,17.28,77.87,0.41,4576.0,4738.0,0.934,resident,P0,12101.0,0x4,1.76,perf_counters
qwen2.5,Q4_K_M,99,2,71.05,0.47,3355.18,20.86,78.3,0.3,4576.0,4738.0,0.934,resident,P0,12101.0,0x20|0x4,1.77,unstable_clocks
